ID,Bairro,Cor Predominante,Desvio Padrao Cor
1,AFONSO PENA,PARDA,0.7714
2,ALTA VILLE,BRANCA,0.0
3,ALTEROSA,BRANCA,0.6555
4,ALTO DAS OLIVEIRAS,PARDA,0.0
5,ALTO SAO VICENTE,BRANCA,0.5657
6,ALVORADA,BRANCA,0.6334
7,ANCHIETA,PARDA,0.6847
8,ANTONIO FONSECA,PARDA,0.6965
9,BELA VISTA,BRANCA,0.7243
10,BELO VALE,BRANCA,0.7579
11,BELVEDERE,BRANCA,0.7317
12,BOM PASTOR,BRANCA,0.7477
13,CACOCO,BRANCA,0.0
14,CAMPINA VERDE,BRANCA,0.7634
15,CASA NOVA,BRANCA,0.6847
17,CATALAO,BRANCA,0.7574
19,CHACARA NOVO HORIZONTE,BRANCA,0.0
21,CHACARAS BELO HORIZONTE,BRANCA,0.7071
24,CHACARAS CAMPO GRANDE,PARDA,0.0
26,CHACARAS SANTA RITA,PARDA,0.7483
28,CHANADOUR,BRANCA,0.6086
29,CIDADE JARDIM,PARDA,0.7718
31,CONDOMINIO VILLE ROYALE,BRANCA,0.0
32,COSTA AZUL,PARDA,0.6389
34,DANILO PASSOS,PARDA,0.7474
35,DAVANUZE,PARDA,0.7798
36,DEL REY,PARDA,0.7381
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,PARDA,0.7483
40,DOM CRISTIANO,BRANCA,0.5879
41,DOM PEDRO II,PARDA,0.6667
42,DONA QUITA,PARDA,0.7955
43,DONA ROSA,PARDA,0.7292
44,DOUTOR DULPHE PINTO DE AGUIAR,BRANCA,0.6803
45,DOUTOR JOSE TOMAZ,BRANCA,0.6999
46,ELDORADO,BRANCA,0.6928
47,ELIZABETH NOGUEIRA,BRANCA,0.7922
49,ESPIRITO SANTO,PARDA,0.7663
50,ESPLANADA,BRANCA,0.7276
51,ESTANCIA GAFANHOTO,BRANCA,0.0
52,EXPOSICAO,BRANCA,0.6819
53,FABIO NOTINI,BRANCA,0.7817
55,FLORERMIDA,BRANCA,0.7934
57,FLORESTA,BRANCA,0.7158
58,FONTE BOA,PARDA,0.6928
61,GERALDO PEREIRA,BRANCA,0.6847
62,GRAJAU,BRANCA,0.8124
63,GRANJAS DO SHEIK,BRANCA,0.7071
64,HALIM SOUKI,BRANCA,0.7706
65,HELENO RAMOS FREITAS,BRANCA,0.7071
66,ICARAI,PARDA,0.7535
68,INTERLAGOS,BRANCA,0.7527
69,IPANEMA,PARDA,0.0
70,IPIRANGA,BRANCA,0.774
71,ITACOLOMI,BRANCA,0.8
72,ITAI,PARDA,0.7944
73,JARDIM BETANIA,PARDA,0.7817
74,JARDIM BRASILIA,BRANCA,0.0
75,JARDIM CANDELARIA,PARDA,0.6946
76,JARDIM CAPITAO SILVA,BRANCA,0.5879
77,JARDIM COPACABANA,PARDA,0.8015
78,JARDIM DAS ACACIAS,BRANCA,0.8041
79,JARDIM DAS MANSOES,PARDA,0.8012
80,JARDIM DAS OLIVEIRAS,BRANCA,0.7046
81,JARDIM DOS CANDIDES,PARDA,0.7621
82,JARDIM FLORAMAR,PARDA,0.6928
83,JARDIM NOVA AMERICA,BRANCA,0.62
84,JARDIM PRIMAVERA,BRANCA,0.6624
85,JARDIM REAL,BRANCA,0.6667
86,JARDIM ZONA SUL,PRETO,0.6667
87,JARDINOPOLIS,BRANCA,0.7827
89,JOAO PAULO II,BRANCA,0.8165
90,JOSE ANTONIO GONCALVES,BRANCA,0.7071
91,JUSA FONSECA,BRANCA,0.7266
92,JUSCELINO KUBISTCHEK,BRANCA,0.6667
94,LAGOA DOS MANDARINS,PARDA,0.7847
95,LAGOA PARK,PRETO,0.0
96,LEVINDO DE PAULA PEREIRA,PARDA,0.731
97,LIBERDADE,BRANCA,0.6667
98,MANGABEIRAS,PARDA,0.7694
99,MANOEL VALINHAS,BRANCA,0.6975
100,MAR E TERRA,PARDA,0.7906
101,MARAJO,BRANCA,0.7766
102,MARIA HELENA,PARDA,0.7379
103,MARIA PECANHA,PARDA,0.7407
104,MARISA PARDINI,BRANCA,0.7071
105,MORADA NOVA,BRANCA,0.7275
106,MORUMBI,PARDA,0.7458
107,NACOES,PARDA,0.7673
108,NILDA BARROS,BRANCA,0.7478
109,NITEROI,PARDA,0.7774
110,NOSSA SENHORA DA CONCEICAO,PARDA,0.701
111,NOSSA SENHORA DAS GRACAS,PARDA,0.76
112,NOSSA SENHORA DE LOURDES,BRANCA,0.0
113,NOVA FORTALEZA,PARDA,0.7734
114,NOVA HOLANDA,BRANCA,0.7825
115,NOVA SUICA,PARDA,0.6667
118,NOVO PARAISO,PARDA,0.6389
120,ORION,BRANCA,0.7182
121,OSWALDO MACHADO GONTIJO,PARDA,0.7536
122,PADRE EUSTAQUIO,PARDA,0.7695
123,PADRE HERCULANO,PARDA,0.4949
124,PADRE LIBERIO,PARDA,0.776
125,PARAISO,PARDA,0.8126
126,PLANALTO,BRANCA,0.6921
127,PONTE FUNDA,PARDA,0.7442
128,PORTO VELHO,BRANCA,0.7452
129,PRIMAVERA,BRANCA,0.7559
130,PROGRESSO,PRETO,0.0
131,QUINTA DAS PALMEIRAS,PARDA,0.7817
132,QUINTINO,PARDA,0.7775
133,RANCHO ALEGRE,BRANCA,0.7358
134,REALENGO,BRANCA,0.7667
136,SAGRADA FAMILIA,BRANCA,0.7994
137,SANTA CLARA,BRANCA,0.7086
138,SANTA CRUZ,BRANCA,0.7715
139,SANTA LUCIA,BRANCA,0.7579
140,SANTA LUZIA,BRANCA,0.562
141,SANTA MARTHA,PRETO,0.6999
142,SANTA ROSA,PARDA,0.7835
143,SANTA TEREZA,BRANCA,0.6862
144,SANTO ANDRE,BRANCA,0.7698
145,SANTO ANTONIO,BRANCA,0.7595
146,SANTO ANTONIO DOS CAMPOS,BRANCA,0.0
147,SANTOS DUMONT,BRANCA,0.6847
148,SAO BENTO,PARDA,0.0
149,SAO CAETANO,BRANCA,0.6124
150,SAO CRISTOVAO,BRANCA,0.0
151,SAO DOMINGOS,BRANCA,0.4444
152,SAO FREI GALVAO,PRETO,0.8127
153,SAO GERALDO,BRANCA,0.7536
154,SAO JOAO DE DEUS,PARDA,0.7746
155,SAO JOSE,BRANCA,0.7196
156,SAO JUDAS TADEU,BRANCA,0.7019
157,SAO LUCAS,BRANCA,0.736
158,SAO LUIZ,BRANCA,0.7624
159,SAO MIGUEL,BRANCA,0.7206
160,SAO PAULO,BRANCA,0.0
162,SAO SEBASTIAO,BRANCA,0.7027
163,SAO SIMAO,PARDA,0.6285
164,SAVASSI,PRETO,0.8081
165,SERRA VERDE,BRANCA,0.7536
166,SION,BRANCA,0.7825
167,TERRA AZUL,PARDA,0.7809
168,TIETE,BRANCA,0.7625
170,UNIVERSITARIO,PARDA,0.6928
171,VALE DO SOL,BRANCA,0.7945
172,VILA BELO HORIZONTE,BRANCA,0.7609
175,VILA CRUZEIRO,BRANCA,0.6815
177,VILA DAS ROSEIRAS,PARDA,0.7559
181,VILA ROMANA,PARDA,0.7911
182,VILA ROSEIRAS,BRANCA,0.0
183,VILA SANTO ANDRE,BRANCA,0.527
184,VISTA ALEGRE,BRANCA,0.8012
185,VIVENDAS DA EXPOSICAO,PRETO,0.0
186,WALCHIR RESENDE,PARDA,0.7483
187,XAVANTE,BRANCA,0.527
